file,start,end,avg_similarity_to_patients
148_1b1_Al_sc_Meditron,0.022,0.364,0.9558696019159348
148_1b1_Al_sc_Meditron,0.364,2.436,0.9614592812118845
148_1b1_Al_sc_Meditron,2.436,4.636,0.9774097276210331
148_1b1_Al_sc_Meditron,4.636,6.793,0.9596228008350868
148_1b1_Al_sc_Meditron,6.793,8.75,0.9613028922523185
148_1b1_Al_sc_Meditron,8.75,10.764,0.9736445598404788
148_1b1_Al_sc_Meditron,10.764,13.05,0.9742613385433067
148_1b1_Al_sc_Meditron,13.05,15.193,0.9738955915689649
148_1b1_Al_sc_Meditron,15.193,17.179,0.9745314284878998
148_1b1_Al_sc_Meditron,17.179,19.05,0.9715568562212406
148_1b1_Al_sc_Meditron,19.05,19.993,0.967451116968473
174_1p4_Ar_mc_AKGC417L,2.012,6.252,0.8870709668404304
174_1p4_Ar_mc_AKGC417L,6.252,10.292,0.8859449930280832
141_1b2_Tc_mc_LittC2SE,0.679,4.95,0.9421852315764249
141_1b2_Tc_mc_LittC2SE,4.95,9.336,0.939630503422149
141_1b2_Tc_mc_LittC2SE,9.336,13.736,0.9437639086608332
141_1b2_Tc_mc_LittC2SE,13.736,18.007,0.9411491303531253
141_1b2_Tc_mc_LittC2SE,18.007,19.979,0.9391434892776861
162_1b2_Lr_mc_AKGC417L,0.092,3.481,0.8905887666174053
162_1b2_Lr_mc_AKGC417L,3.481,10.793,0.8870302607125415
162_1b2_Lr_mc_AKGC417L,10.793,18.623,0.8963192707333516
198_6p1_Ll_mc_AKGC417L,0.093,1.868,0.9560529541711934
198_6p1_Ll_mc_AKGC417L,5.216,7.887,0.9794391836724179
198_6p1_Ll_mc_AKGC417L,7.887,10.423,0.9786954196909544
198_6p1_Ll_mc_AKGC417L,10.423,13.432,0.9664002114035695
198_6p1_Ll_mc_AKGC417L,13.432,16.729,0.974100471731508
198_6p1_Ll_mc_AKGC417L,16.729,19.924,0.9664407703704888
115_1b1_Ar_sc_Meditron,0.064,0.393,0.9574689608555405
115_1b1_Ar_sc_Meditron,0.393,1.236,0.9703991406963063
115_1b1_Ar_sc_Meditron,1.236,2.193,0.9427416474100925
115_1b1_Ar_sc_Meditron,2.193,2.979,0.9606407755197954
115_1b1_Ar_sc_Meditron,2.979,3.922,0.937045231994334
115_1b1_Ar_sc_Meditron,3.922,4.736,0.9560145109728604
115_1b1_Ar_sc_Meditron,4.736,5.664,0.9512292934677391
115_1b1_Ar_sc_Meditron,5.664,6.593,0.9515319844264809
115_1b1_Ar_sc_Meditron,6.593,7.393,0.96769552506277
115_1b1_Ar_sc_Meditron,7.393,8.221,0.9487118595796126
115_1b1_Ar_sc_Meditron,8.221,9.236,0.9382004645490745
115_1b1_Ar_sc_Meditron,9.236,10.164,0.9668576798356865
115_1b1_Ar_sc_Meditron,10.836,12.179,0.9759342820023624
115_1b1_Ar_sc_Meditron,12.179,13.007,0.9752503447657677
115_1b1_Ar_sc_Meditron,13.007,13.65,0.9736144006273612
115_1b1_Ar_sc_Meditron,13.65,14.593,0.9685664053652374
115_1b1_Ar_sc_Meditron,14.593,15.479,0.9629208550837817
115_1b1_Ar_sc_Meditron,15.479,16.321,0.9638307677366263
115_1b1_Ar_sc_Meditron,16.321,17.079,0.971291637949569
115_1b1_Ar_sc_Meditron,17.079,17.879,0.9648413950252362
115_1b1_Ar_sc_Meditron,17.879,18.707,0.9649020436808822
115_1b1_Ar_sc_Meditron,18.707,19.55,0.969107373713472
115_1b1_Ar_sc_Meditron,19.55,19.893,0.9711470478580292
224_1b2_Al_sc_Meditron,0.022,3.607,0.8845033142798556
224_1b2_Al_sc_Meditron,3.607,6.964,0.8998130743891456
224_1b2_Al_sc_Meditron,6.964,10.193,0.8866477788843239
224_1b2_Al_sc_Meditron,10.193,13.35,0.887417693250506
224_1b2_Al_sc_Meditron,13.35,16.364,0.8770530727282783
224_1b2_Al_sc_Meditron,16.364,19.364,0.8812813334070988
224_1b2_Al_sc_Meditron,19.364,19.979,0.8975923713665741
158_1p2_Tc_mc_AKGC417L,5.384,7.888,0.9296653624509474
158_1p2_Tc_mc_AKGC417L,7.888,10.276,0.931444118609261
158_1p2_Tc_mc_AKGC417L,10.276,12.73,0.9188049260203105
158_1p2_Tc_mc_AKGC417L,12.73,15.351,0.9123045499614651
158_1p2_Tc_mc_AKGC417L,15.351,17.638,0.8965607059992826
158_1p2_Tc_mc_AKGC417L,17.638,18.523,0.9242520419265542
147_2b3_Ll_mc_AKGC417L,0.864,4.656,0.884328430019751
